register_date,category,store,amount in EuR,country iso code 3
2024-04-06 12:00:00,FOOD,CARREFOUR,2.79,NLD
2024-04-07 16:00:00,FOOD,CARREFOUR,2.08,NLD
2024-04-08 20:00:00,FOOD,WALMART,1.02,NLD
2024-04-10 00:00:00,BEVERAGE,ALDI,4.66,NLD
2024-04-11 04:00:00,BEVERAGE,CARREFOUR,3.74,NLD
2024-04-12 08:00:00,SWEETS,ALDI,1.1,NLD
2024-04-13 12:00:00,ALCOHOL,CARREFOUR,4.73,NLD
2024-04-14 16:00:00,FOOD,LIDL,2.06,NLD
2024-04-15 20:00:00,BEVERAGE,WALMART,3.17,NLD
2024-04-17 00:00:00,SWEETS,CARREFOUR,4.56,NLD
2024-04-18 04:00:00,FOOD,ALDI,4.52,NLD
2024-04-19 08:00:00,BEVERAGE,LIDL,2.74,NLD
2024-04-20 12:00:00,ALCOHOL,WALMART,4.86,NLD
2024-04-21 16:00:00,SWEETS,ALDI,4.69,NLD
2024-04-22 20:00:00,FOOD,WALMART,3.75,NLD
2024-04-24 00:00:00,BEVERAGE,WALMART,3.07,NLD
2024-04-25 04:00:00,FOOD,CARREFOUR,1.29,NLD
2024-04-26 08:00:00,BEVERAGE,LIDL,2.73,NLD
2024-04-27 12:00:00,ALCOHOL,WALMART,3.38,NLD
2024-04-28 16:00:00,ALCOHOL,CARREFOUR,2.9,NLD
2024-04-29 20:00:00,FOOD,ALDI,1.64,NLD
2024-05-01 00:00:00,BEVERAGE,WALMART,1.19,NLD
2024-05-02 04:00:00,BEVERAGE,LIDL,1.58,NLD
2024-05-03 08:00:00,SWEETS,CARREFOUR,4.06,NLD
2024-05-04 12:00:00,BEVERAGE,WALMART,2.74,NLD
2024-05-05 16:00:00,FOOD,WALMART,3.5,NLD
2024-05-06 20:00:00,FOOD,LIDL,1.82,NLD
2024-05-08 00:00:00,FOOD,CARREFOUR,1.09,NLD
2024-05-09 04:00:00,SWEETS,CARREFOUR,1.14,NLD
2024-05-10 08:00:00,SWEETS,CARREFOUR,2.93,NLD
2024-05-11 12:00:00,FOOD,WALMART,2.6,NLD
2024-05-12 16:00:00,SWEETS,CARREFOUR,2.82,NLD
2024-05-13 20:00:00,SWEETS,ALDI,4.52,NLD
2024-05-15 00:00:00,FOOD,WALMART,3.99,NLD
2024-05-16 04:00:00,BEVERAGE,ALDI,1.96,NLD
2024-05-17 08:00:00,BEVERAGE,LIDL,2.6,NLD
2024-05-18 12:00:00,SWEETS,WALMART,1.78,NLD
2024-05-19 16:00:00,SWEETS,CARREFOUR,3.59,NLD
2024-05-20 20:00:00,SWEETS,ALDI,4.87,NLD
2024-05-22 00:00:00,BEVERAGE,CARREFOUR,2.72,NLD
2024-05-23 04:00:00,BEVERAGE,LIDL,4.28,NLD
2024-05-24 08:00:00,SWEETS,ALDI,3.94,NLD
2024-05-25 12:00:00,FOOD,CARREFOUR,1.68,NLD
2024-05-26 16:00:00,SWEETS,WALMART,4.59,NLD
2024-05-27 20:00:00,ALCOHOL,WALMART,2.56,NLD
2024-05-29 00:00:00,BEVERAGE,LIDL,3.34,NLD
2024-05-30 04:00:00,SWEETS,ALDI,1.19,NLD
2024-05-31 08:00:00,BEVERAGE,LIDL,3.29,NLD
2024-06-01 12:00:00,FOOD,CARREFOUR,3.41,NLD
2024-06-02 16:00:00,ALCOHOL,WALMART,4.84,NLD
2024-06-03 20:00:00,FOOD,LIDL,1.32,NLD
2024-06-05 00:00:00,ALCOHOL,LIDL,3.26,NLD
2024-06-06 04:00:00,ALCOHOL,CARREFOUR,3.54,NLD
2024-06-07 08:00:00,SWEETS,LIDL,2.48,NLD
2024-06-08 12:00:00,ALCOHOL,CARREFOUR,2.25,NLD
2024-06-09 16:00:00,SWEETS,CARREFOUR,4.5,NLD
2024-06-10 20:00:00,FOOD,LIDL,1.51,NLD
2024-06-12 00:00:00,ALCOHOL,CARREFOUR,3.37,NLD
2024-06-13 04:00:00,ALCOHOL,ALDI,1.36,NLD
2024-06-14 08:00:00,ALCOHOL,LIDL,4.88,NLD
2024-06-15 12:00:00,ALCOHOL,LIDL,1.81,NLD
2024-06-16 16:00:00,SWEETS,ALDI,1.13,NLD
2024-06-17 20:00:00,SWEETS,WALMART,3.75,NLD
2024-06-19 00:00:00,SWEETS,WALMART,3.08,NLD
2024-06-20 04:00:00,ALCOHOL,ALDI,3.46,NLD
2024-06-21 08:00:00,SWEETS,CARREFOUR,2.39,NLD
2024-06-22 12:00:00,FOOD,LIDL,3.27,NLD
2024-06-23 16:00:00,FOOD,ALDI,2.42,NLD
2024-06-24 20:00:00,SWEETS,LIDL,1.85,NLD
2024-06-26 00:00:00,ALCOHOL,LIDL,1.38,NLD
2024-06-27 04:00:00,ALCOHOL,LIDL,4.93,NLD
2024-06-28 08:00:00,FOOD,ALDI,4.75,NLD
2024-06-29 12:00:00,ALCOHOL,LIDL,4.35,NLD
2024-06-30 16:00:00,BEVERAGE,LIDL,1.81,NLD
2024-07-01 20:00:00,SWEETS,LIDL,3.9,NLD
2024-07-03 00:00:00,BEVERAGE,ALDI,4.94,NLD
2024-07-04 04:00:00,ALCOHOL,WALMART,2.93,NLD
2024-07-05 08:00:00,ALCOHOL,WALMART,2.8,NLD
2024-07-06 12:00:00,FOOD,WALMART,1.18,NLD
2024-07-07 16:00:00,BEVERAGE,CARREFOUR,4.5,NLD
2024-07-08 20:00:00,BEVERAGE,WALMART,4.01,NLD
2024-07-10 00:00:00,BEVERAGE,ALDI,1.28,NLD
2024-07-11 04:00:00,BEVERAGE,LIDL,1.07,NLD
2024-07-12 08:00:00,FOOD,ALDI,1.88,NLD
2024-07-13 12:00:00,SWEETS,LIDL,3.71,NLD
2024-07-14 16:00:00,SWEETS,WALMART,1.99,NLD
2024-07-15 20:00:00,ALCOHOL,WALMART,4.63,NLD
2024-07-17 00:00:00,SWEETS,WALMART,4.57,NLD
2024-07-18 04:00:00,FOOD,WALMART,1.69,NLD
2024-07-19 08:00:00,BEVERAGE,ALDI,2.66,NLD
2024-07-20 12:00:00,SWEETS,CARREFOUR,4.65,NLD
2024-07-21 16:00:00,ALCOHOL,LIDL,2.32,NLD
2024-07-22 20:00:00,FOOD,WALMART,4.83,NLD
2024-07-24 00:00:00,ALCOHOL,WALMART,2.82,NLD
2024-07-25 04:00:00,SWEETS,ALDI,2.79,NLD
2024-07-26 08:00:00,SWEETS,ALDI,1.76,NLD
2024-07-27 12:00:00,BEVERAGE,LIDL,1.46,NLD
2024-07-28 16:00:00,FOOD,CARREFOUR,3.96,NLD
2024-07-29 20:00:00,SWEETS,CARREFOUR,2.55,NLD
2024-07-31 00:00:00,FOOD,LIDL,3.38,NLD
2024-08-01 04:00:00,BEVERAGE,LIDL,3.1,NLD
2024-08-02 08:00:00,ALCOHOL,WALMART,4.26,NLD
2024-08-03 12:00:00,ALCOHOL,ALDI,1.77,NLD
2024-08-04 16:00:00,FOOD,WALMART,4.7,NLD
2024-08-05 20:00:00,ALCOHOL,ALDI,2.65,NLD
2024-08-07 00:00:00,ALCOHOL,LIDL,3.69,NLD
2024-08-08 04:00:00,FOOD,ALDI,1.6,NLD
2024-08-09 08:00:00,ALCOHOL,CARREFOUR,3.66,NLD
2024-08-10 12:00:00,SWEETS,LIDL,2.46,NLD
2024-08-11 16:00:00,SWEETS,ALDI,1.35,NLD
2024-08-12 20:00:00,BEVERAGE,WALMART,3.22,NLD
2024-08-14 00:00:00,BEVERAGE,WALMART,1.7,NLD
2024-08-15 04:00:00,ALCOHOL,LIDL,4.46,NLD
2024-08-16 08:00:00,SWEETS,CARREFOUR,1.18,NLD
2024-08-17 12:00:00,FOOD,CARREFOUR,3.24,NLD
2024-08-18 16:00:00,BEVERAGE,ALDI,2.6,NLD
2024-08-19 20:00:00,FOOD,ALDI,1.67,NLD
2024-08-21 00:00:00,ALCOHOL,ALDI,1.21,NLD
2024-08-22 04:00:00,BEVERAGE,CARREFOUR,4.64,NLD
2024-08-23 08:00:00,SWEETS,CARREFOUR,4.68,NLD
2024-08-24 12:00:00,BEVERAGE,WALMART,3.91,NLD
2024-08-25 16:00:00,ALCOHOL,LIDL,2.2,NLD
2024-08-26 20:00:00,FOOD,WALMART,2.94,NLD
2024-08-28 00:00:00,ALCOHOL,ALDI,3.31,NLD
2024-08-29 04:00:00,SWEETS,ALDI,1.65,NLD
2024-08-30 08:00:00,FOOD,WALMART,1.02,NLD
2024-08-31 12:00:00,ALCOHOL,WALMART,3.72,NLD
2024-09-01 16:00:00,ALCOHOL,CARREFOUR,2.83,NLD
2024-09-02 20:00:00,FOOD,WALMART,4.0,NLD
2024-09-04 00:00:00,ALCOHOL,CARREFOUR,1.26,NLD
2024-09-05 04:00:00,SWEETS,LIDL,4.6,NLD
2024-09-06 08:00:00,FOOD,CARREFOUR,1.4,NLD
2024-09-07 12:00:00,ALCOHOL,WALMART,4.61,NLD
2024-09-08 16:00:00,BEVERAGE,WALMART,2.88,NLD
2024-09-09 20:00:00,SWEETS,CARREFOUR,2.4,NLD
2024-09-11 00:00:00,ALCOHOL,WALMART,1.44,NLD
2024-09-12 04:00:00,ALCOHOL,WALMART,2.44,NLD
2024-09-13 08:00:00,FOOD,LIDL,4.24,NLD
2024-09-14 12:00:00,FOOD,LIDL,4.94,NLD
2024-09-15 16:00:00,ALCOHOL,ALDI,1.4,NLD
2024-09-16 20:00:00,ALCOHOL,CARREFOUR,3.82,NLD
2024-09-18 00:00:00,ALCOHOL,ALDI,1.76,NLD
2024-09-19 04:00:00,FOOD,WALMART,4.48,NLD
2024-09-20 08:00:00,ALCOHOL,ALDI,3.47,NLD
2024-09-21 12:00:00,BEVERAGE,LIDL,1.73,NLD
2024-09-22 16:00:00,ALCOHOL,WALMART,1.88,NLD
2024-09-23 20:00:00,FOOD,CARREFOUR,3.92,NLD
2024-09-25 00:00:00,ALCOHOL,LIDL,2.32,NLD
2024-09-26 04:00:00,BEVERAGE,CARREFOUR,1.64,NLD
2024-09-27 08:00:00,ALCOHOL,WALMART,3.42,NLD
2024-09-28 12:00:00,ALCOHOL,LIDL,3.27,NLD
2024-09-29 16:00:00,FOOD,WALMART,3.13,NLD
2024-09-30 20:00:00,SWEETS,CARREFOUR,4.98,NLD
2024-10-02 00:00:00,FOOD,LIDL,4.82,NLD
2024-10-03 04:00:00,SWEETS,ALDI,4.64,NLD
2024-10-04 08:00:00,FOOD,WALMART,3.93,NLD
2024-10-05 12:00:00,BEVERAGE,LIDL,2.53,NLD
2024-10-06 16:00:00,FOOD,LIDL,1.91,NLD
2024-10-07 20:00:00,SWEETS,LIDL,2.54,NLD
2024-10-09 00:00:00,BEVERAGE,LIDL,2.36,NLD
2024-10-10 04:00:00,BEVERAGE,WALMART,3.98,NLD
2024-10-11 08:00:00,BEVERAGE,CARREFOUR,2.67,NLD
2024-10-12 12:00:00,FOOD,CARREFOUR,2.86,NLD
2024-10-13 16:00:00,FOOD,CARREFOUR,2.48,NLD
2024-10-14 20:00:00,SWEETS,CARREFOUR,3.37,NLD
2024-10-16 00:00:00,SWEETS,WALMART,2.94,NLD
2024-10-17 04:00:00,SWEETS,CARREFOUR,4.95,NLD
2024-10-18 08:00:00,ALCOHOL,ALDI,3.54,NLD
2024-10-19 12:00:00,SWEETS,CARREFOUR,1.2,NLD
2024-10-20 16:00:00,ALCOHOL,ALDI,4.99,NLD
2024-10-21 20:00:00,FOOD,ALDI,2.26,NLD
2024-10-23 00:00:00,ALCOHOL,WALMART,4.7,NLD
2024-10-24 04:00:00,BEVERAGE,CARREFOUR,2.88,NLD
2024-10-25 08:00:00,BEVERAGE,WALMART,1.86,NLD
2024-10-26 12:00:00,ALCOHOL,CARREFOUR,3.2,NLD
2024-10-27 16:00:00,SWEETS,WALMART,1.68,NLD
2024-10-28 20:00:00,FOOD,WALMART,4.87,NLD
2024-10-30 00:00:00,SWEETS,ALDI,1.54,NLD
2024-10-31 04:00:00,ALCOHOL,LIDL,4.83,NLD
2024-11-01 08:00:00,SWEETS,ALDI,4.38,NLD
2024-11-02 12:00:00,FOOD,LIDL,4.91,NLD
2024-11-03 16:00:00,SWEETS,WALMART,1.98,NLD
2024-11-04 20:00:00,SWEETS,LIDL,4.88,NLD
2024-11-06 00:00:00,FOOD,LIDL,1.48,NLD
2024-11-07 04:00:00,FOOD,WALMART,3.67,NLD
2024-11-08 08:00:00,FOOD,LIDL,2.41,NLD
2024-11-09 12:00:00,BEVERAGE,ALDI,4.32,NLD
2024-11-10 16:00:00,SWEETS,WALMART,3.75,NLD
2024-11-11 20:00:00,SWEETS,LIDL,2.33,NLD
2024-11-13 00:00:00,FOOD,LIDL,4.28,NLD
2024-11-14 04:00:00,SWEETS,LIDL,4.91,NLD
2024-11-15 08:00:00,SWEETS,ALDI,3.83,NLD
2024-11-16 12:00:00,BEVERAGE,LIDL,4.88,NLD
2024-11-17 16:00:00,ALCOHOL,CARREFOUR,4.07,NLD
2024-11-18 20:00:00,BEVERAGE,LIDL,4.72,NLD
2024-11-20 00:00:00,FOOD,WALMART,1.75,NLD
2024-11-21 04:00:00,FOOD,WALMART,1.51,NLD
2024-11-22 08:00:00,SWEETS,ALDI,2.44,NLD
2024-11-23 12:00:00,BEVERAGE,WALMART,4.03,NLD
2024-11-24 16:00:00,ALCOHOL,CARREFOUR,2.04,NLD
2024-11-25 20:00:00,ALCOHOL,CARREFOUR,4.85,NLD
2024-11-26 20:00:00,ALCOHOL,CARREFOUR,4.85,NLD
2024-11-27 00:00:00,FOOD,ALDI,2.17,NLD
2024-11-28 04:00:00,FOOD,ALDI,2.11,NLD
2024-11-29 08:00:00,BEVERAGE,ALDI,4.71,NLD
2024-11-30 12:00:00,BEVERAGE,ALDI,2.39,NLD
2024-12-01 16:00:00,BEVERAGE,CARREFOUR,3.91,NLD
2024-12-02 20:00:00,FOOD,WALMART,2.2,NLD
2024-12-04 00:00:00,BEVERAGE,LIDL,3.83,NLD
2024-12-05 04:00:00,ALCOHOL,CARREFOUR,3.85,NLD
2024-12-06 08:00:00,BEVERAGE,WALMART,4.74,NLD
2024-12-07 12:00:00,ALCOHOL,ALDI,2.25,NLD
2024-12-08 16:00:00,BEVERAGE,ALDI,4.04,NLD
2024-12-09 20:00:00,FOOD,LIDL,3.08,NLD
2024-12-11 00:00:00,FOOD,WALMART,1.68,NLD
2024-12-12 04:00:00,SWEETS,CARREFOUR,4.84,NLD
2024-12-13 08:00:00,FOOD,ALDI,3.44,NLD
2024-12-14 12:00:00,SWEETS,ALDI,4.33,NLD
2024-12-15 16:00:00,BEVERAGE,WALMART,3.23,NLD
2024-12-16 20:00:00,ALCOHOL,LIDL,3.52,NLD
2024-12-18 00:00:00,SWEETS,CARREFOUR,3.41,NLD
2024-12-19 04:00:00,BEVERAGE,WALMART,2.73,NLD
2024-12-20 08:00:00,FOOD,WALMART,3.89,NLD
2024-12-21 12:00:00,BEVERAGE,WALMART,2.0,NLD
2024-12-22 16:00:00,BEVERAGE,WALMART,1.06,NLD
2024-12-23 20:00:00,BEVERAGE,ALDI,3.34,NLD
2024-12-25 00:00:00,FOOD,CARREFOUR,1.24,NLD
2024-12-26 04:00:00,FOOD,LIDL,2.32,NLD
2024-12-27 08:00:00,ALCOHOL,WALMART,4.12,NLD
2024-12-28 12:00:00,SWEETS,ALDI,4.66,NLD
2024-12-29 16:00:00,BEVERAGE,WALMART,1.13,NLD
2024-12-30 20:00:00,ALCOHOL,CARREFOUR,2.23,NLD
